url,title,editor,publication_model,impact_factor,impact_factor_year,impact_factor_5_years,impact_factor_5_years_year,downloads,downloads_year,journal_cover,latest_issue_cover,issn_electronic,issn_print,is_parsable
https://link.springer.com/journal/13367,Korea-Australia Rheology Journal,"Kyu Hyun, ",HybridTransformativeJournal,1.404,2021.0,1.404,2021.0,8304.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/13367.jpg,https://media.springernature.com/w92/springer-static/cover/journal/13367/34/3.jpg,2093-7660,1226-119X,True
https://link.springer.com/journal/42247,Emergent Materials,Alamgir Karim,HybridTransformativeJournal,,,,,168876.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/42247.jpg,https://media.springernature.com/w92/springer-static/cover/journal/42247/5/3.jpg,2522-574X,2522-5731,True
https://link.springer.com/journal/11015,Metallurgist,Elena Kh. Ivanova,Subscription,0.887,2021.0,0.887,2021.0,45238.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/11015.jpg,https://media.springernature.com/w92/springer-static/cover/journal/11015/66/3.jpg,1573-8892,0026-0894,True
https://link.springer.com/journal/11041,Metal Science and Heat Treatment,V. S. Kraposhin,Subscription,0.566,2021.0,0.566,2021.0,66743.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/11041.jpg,https://media.springernature.com/w92/springer-static/cover/journal/11041/63/11.jpg,1573-8973,0026-0673,True
https://link.springer.com/journal/13404,Gold Bulletin,A. Stephen K. Hashmi,HybridTransformativeJournal,1.564,2021.0,1.564,2021.0,264813.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/13404.jpg,https://media.springernature.com/w92/springer-static/cover/journal/13404/55/1.jpg,2190-7579,2364-821X,True
https://link.springer.com/journal/42649,Applied Microscopy,,,,,,,,,,,,,True
https://link.springer.com/journal/43591,Microplastics and Nanoplastics,,,,,,,,,,,,,True
https://link.springer.com/journal/10832,Journal of Electroceramics,Harry Tuller,HybridTransformativeJournal,1.814,2021.0,1.814,2021.0,82764.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/10832.jpg,https://media.springernature.com/w92/springer-static/cover/journal/10832/48/4.jpg,1573-8663,1385-3449,True
https://link.springer.com/journal/42824,Materials Circular Economy,Seeram Ramakrishna,Hybrid,,,,,44679.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/42824.jpg,https://media.springernature.com/w92/springer-static/cover/journal/42824/4/1.jpg,2524-8154,2524-8146,True
https://link.springer.com/journal/11706,Frontiers of Materials Science,Binglin Gu,Hybrid,2.612,2021.0,2.612,2021.0,14089.0,2021.0,https://media.springernature.com/w92/springer-static/cover/journal/11706.jpg,https://media.springernature.com/w92/springer-static/cover/journal/11706/16/3.jpg,2095-0268,2095-025X,True
